step,horizon,mse_base,mse_corrected
0,1,0.005017837043851614,0.005017837043851614
0,2,0.007930699735879898,0.007930699735879898
0,3,0.006127502769231796,0.006127502769231796
0,4,0.018446821719408035,0.018446821719408035
0,5,0.005069517996162176,0.005069517996162176
0,6,0.012524439021945,0.012524439021945
0,7,0.047776736319065094,0.047776736319065094
0,8,0.041301123797893524,0.041301123797893524
0,9,0.03635619580745697,0.03635619580745697
0,10,0.07499891519546509,0.07499891519546509
0,11,0.039547160267829895,0.039547160267829895
0,12,0.059751540422439575,0.059751540422439575
0,13,0.06851185858249664,0.06851185858249664
0,14,0.03727395087480545,0.03727395087480545
0,15,0.05092720314860344,0.05092720314860344
10,1,0.0014442671090364456,0.0014442671090364456
10,2,0.00768409576267004,0.00768409576267004
10,3,0.013815498910844326,0.013815498910844326
10,4,0.005233864299952984,0.005233864299952984
10,5,0.008282488211989403,0.008282488211989403
10,6,0.017711980268359184,0.017711980268359184
10,7,0.0057535781525075436,0.0057535781525075436
10,8,0.017380911856889725,0.017380911856889725
10,9,0.015731891617178917,0.015731891617178917
10,10,0.00399982463568449,0.00399982463568449
10,11,0.004637900274246931,0.004637900274246931
10,12,0.010920317843556404,0.010920317843556404
10,13,0.0054212287068367004,0.0054212287068367004
10,14,0.021320950239896774,0.021320950239896774
10,15,0.005068350117653608,0.005068350117653608
20,1,0.004303866531699896,0.004303866531699896
20,2,0.006985475309193134,0.006985475309193134
20,3,0.007920588366687298,0.007920588366687298
20,4,0.021291246637701988,0.021291246637701988
20,5,0.009966346435248852,0.009966346435248852
20,6,0.00844789482653141,0.00844789482653141
20,7,0.008032573387026787,0.008032573387026787
20,8,0.008839014917612076,0.008839014917612076
20,9,0.00940111093223095,0.00940111093223095
20,10,0.009958099573850632,0.009958099573850632
20,11,0.014544944278895855,0.014544944278895855
20,12,0.00914500467479229,0.00914500467479229
20,13,0.030389871448278427,0.030389871448278427
20,14,0.011110080406069756,0.011110080406069756
20,15,0.013734533451497555,0.013734533451497555
30,1,0.006684256251901388,0.006684256251901388
30,2,0.0022227782756090164,0.0022227782756090164
30,3,0.027967039495706558,0.027967039495706558
30,4,0.013904462568461895,0.013904462568461895
30,5,0.006908226292580366,0.006908226292580366
30,6,0.02993394434452057,0.02993394434452057
30,7,0.027428900822997093,0.027428900822997093
30,8,0.010731898248195648,0.010731898248195648
30,9,0.03918394446372986,0.03918394446372986
30,10,0.030446749180555344,0.030446749180555344
30,11,0.020542822778224945,0.020542822778224945
30,12,0.059926923364400864,0.059926923364400864
30,13,0.0345194935798645,0.0345194935798645
30,14,0.02760208770632744,0.02760208770632744
30,15,0.009260578081011772,0.009260578081011772
40,1,0.009613152593374252,0.010253025218844414
40,2,0.012888951227068901,0.019541006535291672
40,3,0.010346523486077785,0.006861438509076834
40,4,0.013868024572730064,0.014328047633171082
40,5,0.017071262001991272,0.02207433432340622
40,6,0.02638641558587551,0.02768879197537899
40,7,0.027673423290252686,0.028672289103269577
40,8,0.021611802279949188,0.028115376830101013
40,9,0.041206248104572296,0.03952714428305626
40,10,0.017831692472100258,0.022459406405687332
40,11,0.03761180117726326,0.04659328609704971
40,12,0.054223205894231796,0.05298718065023422
40,13,0.020602378994226456,0.016411056742072105
40,14,0.032457396388053894,0.03149358555674553
40,15,0.03802669793367386,0.036773260682821274
50,1,0.006380749400705099,0.009027110412716866
50,2,0.015443917363882065,0.0139812882989645
50,3,0.006485193967819214,0.00987447239458561
50,4,0.0027641053311526775,0.00391364423558116
50,5,0.009807267226278782,0.010274732485413551
50,6,0.020711787045001984,0.021749045699834824
50,7,0.00928548164665699,0.010499561205506325
50,8,0.003417144063860178,0.012868296355009079
50,9,0.009357888251543045,0.010914163663983345
50,10,0.011852758936583996,0.01950681209564209
50,11,0.023475071415305138,0.0271843820810318
50,12,0.00977509468793869,0.010956457816064358
50,13,0.004783714190125465,0.008796325884759426
50,14,0.007024838589131832,0.008917106315493584
50,15,0.012967580929398537,0.01856498047709465
60,1,0.009879272431135178,0.009879272431135178
60,2,0.0014693047851324081,0.0014693047851324081
60,3,0.01089511252939701,0.01089511252939701
60,4,0.007613111287355423,0.007613111287355423
60,5,0.01691242679953575,0.01691242679953575
60,6,0.04071636497974396,0.04071636497974396
60,7,0.014947659336030483,0.014947659336030483
60,8,0.05347881466150284,0.05347881466150284
60,9,0.04824560880661011,0.04824560880661011
60,10,0.01721237786114216,0.01721237786114216
60,11,0.020669925957918167,0.020669925957918167
60,12,0.05770540237426758,0.05770540237426758
60,13,0.025612829253077507,0.025612829253077507
60,14,0.05687887594103813,0.05687887594103813
60,15,0.04927495867013931,0.04927495867013931
70,1,0.002518747467547655,0.002518747467547655
70,2,0.023077942430973053,0.023077942430973053
70,3,0.002110848668962717,0.002110848668962717
70,4,0.019645467400550842,0.019645467400550842
70,5,0.012549830600619316,0.012549830600619316
70,6,0.0012210927670821548,0.0012210927670821548
70,7,0.020194100216031075,0.020194100216031075
70,8,0.022329043596982956,0.022329043596982956
70,9,0.02130994200706482,0.02130994200706482
70,10,0.0362013578414917,0.0362013578414917
70,11,0.03037685714662075,0.03037685714662075
70,12,0.07441651821136475,0.07441651821136475
70,13,0.09997355192899704,0.09997355192899704
70,14,0.09102737903594971,0.09102737903594971
70,15,0.1579047590494156,0.1579047590494156
80,1,0.007909710519015789,0.007909710519015789
80,2,0.08278486877679825,0.08278486877679825
80,3,0.09997060149908066,0.09997060149908066
80,4,0.10802777856588364,0.10802777856588364
80,5,0.16398288309574127,0.16398288309574127
80,6,0.16586598753929138,0.16586598753929138
80,7,0.16512367129325867,0.16512367129325867
80,8,0.11029364913702011,0.11029364913702011
80,9,0.09436886012554169,0.09436886012554169
80,10,0.041368450969457626,0.041368450969457626
80,11,0.05221658945083618,0.05221658945083618
80,12,0.02393421158194542,0.02393421158194542
80,13,0.017116595059633255,0.017116595059633255
80,14,0.047931186854839325,0.047931186854839325
80,15,0.043821610510349274,0.043821610510349274
90,1,0.007332100532948971,0.007332100532948971
90,2,0.013266563415527344,0.013266563415527344
90,3,0.027980811893939972,0.027980811893939972
90,4,0.007734942249953747,0.007734942249953747
90,5,0.005858284886926413,0.005858284886926413
90,6,0.007064472418278456,0.007064472418278456
90,7,0.006017395760864019,0.006017395760864019
90,8,0.005710379686206579,0.005710379686206579
90,9,0.007383674383163452,0.007383674383163452
90,10,0.01293734647333622,0.01293734647333622
90,11,0.00944257527589798,0.00944257527589798
90,12,0.01783476397395134,0.01783476397395134
90,13,0.061609990894794464,0.061609990894794464
90,14,0.06911379098892212,0.06911379098892212
90,15,0.0632207915186882,0.0632207915186882
100,1,0.004712682217359543,0.005725025199353695
100,2,0.01757482811808586,0.0161698330193758
100,3,0.05911937355995178,0.06398005783557892
100,4,0.06152601167559624,0.06443913280963898
100,5,0.0572667270898819,0.07169105857610703
100,6,0.058181509375572205,0.05418893322348595
100,7,0.059420838952064514,0.06367789208889008
100,8,0.061816971749067307,0.0553731843829155
100,9,0.06926457583904266,0.07147006690502167
100,10,0.05846410617232323,0.054384853690862656
100,11,0.07255338132381439,0.07752258330583572
100,12,0.0867248997092247,0.09210626780986786
100,13,0.059396352618932724,0.06335065513849258
100,14,0.06088036298751831,0.05678431689739227
100,15,0.06668510288000107,0.07141465693712234
110,1,0.006937076337635517,0.006159184034913778
110,2,0.01580929011106491,0.028494182974100113
110,3,0.0067953867837786674,0.0059274653904139996
110,4,0.012296870350837708,0.010283250361680984
110,5,0.01069464348256588,0.013653386384248734
110,6,0.03204523026943207,0.03805067017674446
110,7,0.013015061616897583,0.010080219246447086
110,8,0.015060504898428917,0.008717751130461693
110,9,0.011186647228896618,0.00799198355525732
110,10,0.013500189408659935,0.010713188908994198
110,11,0.010658912360668182,0.00614454410970211
110,12,0.04600229486823082,0.046824466437101364
110,13,0.011508142575621605,0.009900979697704315
110,14,0.03389573097229004,0.03186606988310814
110,15,0.059072479605674744,0.06195449084043503
120,1,0.0026120839174836874,0.0026120839174836874
120,2,0.032394494861364365,0.032394494861364365
120,3,0.002042024163529277,0.002042024163529277
120,4,0.01900462619960308,0.01900462619960308
120,5,0.040818940848112106,0.040818940848112106
120,6,0.004933758173137903,0.004933758173137903
120,7,0.011203356087207794,0.011203356087207794
120,8,0.07816274464130402,0.07816274464130402
120,9,0.014768935739994049,0.014768935739994049
120,10,0.03397562354803085,0.03397562354803085
120,11,0.08201360702514648,0.08201360702514648
120,12,0.0328175313770771,0.0328175313770771
120,13,0.07161756604909897,0.07161756604909897
120,14,0.06183810159564018,0.06183810159564018
120,15,0.01782786101102829,0.01782786101102829
130,1,0.021699707955121994,0.021699707955121994
130,2,0.005576570983976126,0.005576570983976126
130,3,0.019802281633019447,0.019802281633019447
130,4,0.019874701276421547,0.019874701276421547
130,5,0.00168521236628294,0.00168521236628294
130,6,0.009187668561935425,0.009187668561935425
130,7,0.004974289331585169,0.004974289331585169
130,8,0.03247392550110817,0.03247392550110817
130,9,0.037487201392650604,0.037487201392650604
130,10,0.04311990365386009,0.04311990365386009
130,11,0.03249463438987732,0.03249463438987732
130,12,0.0422859862446785,0.0422859862446785
130,13,0.04163745045661926,0.04163745045661926
130,14,0.04619491100311279,0.04619491100311279
130,15,0.028045598417520523,0.028045598417520523
140,1,0.0019146022386848927,0.0019146022386848927
140,2,0.004622273612767458,0.004622273612767458
140,3,0.006703635212033987,0.006703635212033987
140,4,0.0290144681930542,0.0290144681930542
140,5,0.006475361995398998,0.006475361995398998
140,6,0.008949446491897106,0.008949446491897106
140,7,0.02901448681950569,0.02901448681950569
140,8,0.035231899470090866,0.035231899470090866
140,9,0.013398777693510056,0.013398777693510056
140,10,0.02012212574481964,0.02012212574481964
140,11,0.03953952714800835,0.03953952714800835
140,12,0.02802850678563118,0.02802850678563118
140,13,0.014069112949073315,0.014069112949073315
140,14,0.03491457551717758,0.03491457551717758
140,15,0.03052915632724762,0.03052915632724762
150,1,0.013311782851815224,0.013311782851815224
150,2,0.00775667279958725,0.00775667279958725
150,3,0.004653521813452244,0.004653521813452244
150,4,0.011916308663785458,0.011916308663785458
150,5,0.006689067464321852,0.006689067464321852
150,6,0.010170086286962032,0.010170086286962032
150,7,0.03135628625750542,0.03135628625750542
150,8,0.01900046318769455,0.01900046318769455
150,9,0.04491552338004112,0.04491552338004112
150,10,0.0685579776763916,0.0685579776763916
150,11,0.036198537796735764,0.036198537796735764
150,12,0.058909930288791656,0.058909930288791656
150,13,0.06279454380273819,0.06279454380273819
150,14,0.032164983451366425,0.032164983451366425
150,15,0.044764675199985504,0.044764675199985504
160,1,0.001408961834385991,0.004582464694976807
160,2,0.004902256187051535,0.005688311066478491
160,3,0.003454832127317786,0.005385054275393486
160,4,0.006039724685251713,0.004423846956342459
160,5,0.0030392170883715153,0.005974482744932175
160,6,0.00391024723649025,0.004268706310540438
160,7,0.014336193911731243,0.017002487555146217
160,8,0.010213963687419891,0.007925253361463547
160,9,0.004973443225026131,0.005574512295424938
160,10,0.013994607143104076,0.015064971521496773
160,11,0.009950429201126099,0.00974018033593893
160,12,0.01685083471238613,0.01607520505785942
160,13,0.05933579057455063,0.07072336971759796
160,14,0.017007671296596527,0.01515047624707222
160,15,0.01669704169034958,0.01659514755010605
170,1,0.003210018388926983,0.0036375063937157393
170,2,0.007857484742999077,0.009267238900065422
170,3,0.04374192655086517,0.05415807291865349
170,4,0.004354812204837799,0.0036818841472268105
170,5,0.004602511879056692,0.006133005954325199
170,6,0.005410333629697561,0.007666930556297302
170,7,0.017330655828118324,0.011936891824007034
170,8,0.012662048451602459,0.012532612308859825
170,9,0.010575240477919579,0.0102517269551754
170,10,0.014172385446727276,0.013999476097524166
170,11,0.014070331119000912,0.018233731389045715
170,12,0.022148534655570984,0.014534903690218925
170,13,0.05010092258453369,0.0605950765311718
170,14,0.02457752451300621,0.02291768044233322
170,15,0.04062715917825699,0.04520658776164055
180,1,0.003863030578941107,0.008090121671557426
180,2,0.012205014005303383,0.017162950709462166
180,3,0.040086839348077774,0.050345852971076965
180,4,0.012511513195931911,0.016149349510669708
180,5,0.03727826103568077,0.03372577950358391
180,6,0.0790415033698082,0.08509884774684906
180,7,0.023408573120832443,0.025939568877220154
180,8,0.04373946785926819,0.042748551815748215
180,9,0.06575483083724976,0.07285259664058685
180,10,0.018364164978265762,0.017603987827897072
180,11,0.05806482583284378,0.0626065582036972
180,12,0.08322116732597351,0.08002005517482758
180,13,0.04258669912815094,0.04314577579498291
180,14,0.06339965760707855,0.06934748589992523
180,15,0.07105568051338196,0.06697597354650497
190,1,0.007248318754136562,0.0065809814259409904
190,2,0.02051594853401184,0.022850072011351585
190,3,0.008642476983368397,0.008979979902505875
190,4,0.01615956425666809,0.018199244514107704
190,5,0.022338351234793663,0.019481780007481575
190,6,0.012319172732532024,0.009312639944255352
190,7,0.013659276068210602,0.013467973098158836
190,8,0.013544049113988876,0.01333682145923376
190,9,0.020730245858430862,0.020137250423431396
190,10,0.023812076076865196,0.022835053503513336
190,11,0.0419798418879509,0.03960154205560684
190,12,0.32564014196395874,0.31061428785324097
190,13,0.7948406934738159,0.7702946066856384
190,14,0.9283115863800049,0.9240128993988037
190,15,0.6590229272842407,0.6572468876838684
200,1,0.023067571222782135,0.025891778990626335
200,2,0.3119966685771942,0.3110998570919037
200,3,0.7652360200881958,0.738900363445282
200,4,0.896887481212616,0.8672924041748047
200,5,0.6142231225967407,0.6157859563827515
200,6,0.8254105448722839,0.8069806098937988
200,7,0.8044402003288269,0.8332246541976929
200,8,0.5675851106643677,0.5527539849281311
200,9,0.5795596837997437,0.596449077129364
200,10,0.5821805000305176,0.5778721570968628
200,11,0.42682790756225586,0.4637894630432129
200,12,0.3237914443016052,0.32925519347190857
200,13,0.2782072424888611,0.27903369069099426
200,14,0.26386380195617676,0.27506399154663086
200,15,0.2201586663722992,0.2188756912946701
210,1,0.03729289770126343,0.03497515991330147
210,2,0.019105101004242897,0.01440443005412817
210,3,0.041224174201488495,0.0365762934088707
210,4,0.06626570224761963,0.06303485482931137
210,5,0.07010671496391296,0.06925053894519806
210,6,0.07415684312582016,0.07736866176128387
210,7,0.06592579931020737,0.06256403028964996
210,8,0.048692137002944946,0.05453193187713623
210,9,0.04184896871447563,0.03465571254491806
210,10,0.031367212533950806,0.03193722292780876
210,11,0.041708193719387054,0.03554961085319519
210,12,0.03736851364374161,0.041338495910167694
210,13,0.04114312678575516,0.045316778123378754
210,14,0.04306213557720184,0.0464828759431839
210,15,0.07120132446289062,0.07429194450378418
220,1,0.016731126233935356,0.03375684469938278
220,2,0.012361181899905205,0.04375530406832695
220,3,0.019255857914686203,0.05235359072685242
220,4,0.035581670701503754,0.0735354796051979
220,5,0.05975956842303276,0.10280214250087738
220,6,0.04188043624162674,0.08751906454563141
220,7,0.037701137363910675,0.0623646005988121
220,8,0.10821571201086044,0.1455601006746292
220,9,0.04663854464888573,0.0701528787612915
220,10,0.04118183255195618,0.057659756392240524
220,11,0.053846415132284164,0.07052962481975555
220,12,0.025149628520011902,0.036401133984327316
220,13,0.026717975735664368,0.030721595510840416
220,14,0.020569458603858948,0.02847939543426037
220,15,0.015151577070355415,0.018154654651880264
230,1,0.01088891550898552,0.02355535700917244
230,2,0.006715430878102779,0.010806472972035408
230,3,0.006946630775928497,0.01038239523768425
230,4,0.006023220252245665,0.01399182341992855
230,5,0.009571675211191177,0.009846346452832222
230,6,0.004974548704922199,0.011434308253228664
230,7,0.004653853364288807,0.007915366441011429
230,8,0.0030159917660057545,0.005815830081701279
230,9,0.0037073090206831694,0.005626002326607704
230,10,0.0028187704738229513,0.005241784267127514
230,11,0.006486109457910061,0.005868334323167801
230,12,0.014332234859466553,0.018589744344353676
230,13,0.013602936640381813,0.017644133418798447
230,14,0.011873855255544186,0.017261669039726257
230,15,0.04759320616722107,0.05078490823507309
240,1,0.008444364182651043,0.020663494244217873
240,2,0.009972522966563702,0.012676090002059937
240,3,0.017386138439178467,0.018065623939037323
240,4,0.01162137370556593,0.014122886583209038
240,5,0.05144903063774109,0.05639353394508362
240,6,0.037613868713378906,0.0382721945643425
240,7,0.03630311042070389,0.03532175347208977
240,8,0.06765539944171906,0.08045647293329239
240,9,0.0113620450720191,0.010224672965705395
240,10,0.010362567380070686,0.014317231252789497
240,11,0.00813471619039774,0.009153355844318867
240,12,0.010735085234045982,0.015897111967206
240,13,0.0129166841506958,0.018396172672510147
240,14,0.014076395891606808,0.019824286922812462
240,15,0.016507718712091446,0.015829330310225487
250,1,0.010231618769466877,0.014117350801825523
250,2,0.011361805722117424,0.0153964813798666
250,3,0.01368066854774952,0.017205767333507538
250,4,0.02336154691874981,0.025096457451581955
250,5,0.014205283485352993,0.013843159191310406
250,6,0.023186471313238144,0.0276638176292181
250,7,0.0262247733771801,0.02789679728448391
250,8,0.019603164866566658,0.017267975956201553
250,9,0.02140563726425171,0.024948865175247192
250,10,0.020840905606746674,0.02495560422539711
250,11,0.01677786558866501,0.020230978727340698
250,12,0.025685429573059082,0.03061654418706894
250,13,0.03499072790145874,0.03599945828318596
250,14,0.022795971482992172,0.025276288390159607
250,15,0.021756848320364952,0.02029632218182087
