step,method,mse,rolling_mse
0,acl,0.04531288892030716,0.04531288892030716
1,acl,0.05247799679636955,0.048895442858338356
2,acl,0.04835843667387962,0.04871644079685211
3,acl,0.04121968895196915,0.04684225283563137
4,acl,0.028142787516117096,0.043102359771728514
5,acl,0.03183676302433014,0.04122476031382879
6,acl,0.0279100239276886,0.039322655115808756
7,acl,0.013618003576993942,0.03610957367345691
8,acl,0.011949494481086731,0.03342512042986022
9,acl,0.01267689373344183,0.03135029776021838
10,acl,0.011492377147078514,0.029545032249932938
11,acl,0.013524483889341354,0.028209986553216975
12,acl,0.016237160190939903,0.027288999909964893
13,acl,0.01792316697537899,0.026620011843208755
14,acl,0.019610261544585228,0.026152695156633855
15,acl,0.023707138374447823,0.025999847857747227
16,acl,0.02458771876990795,0.025916781440815505
17,acl,0.026432381942868233,0.025945425913151767
18,acl,0.03207473084330559,0.026268020909475654
19,acl,0.03443102538585663,0.0266761711332947
20,acl,0.026572024449706078,0.02667121176740953
21,acl,0.030324550345540047,0.02683727261187001
22,acl,0.028709126636385918,0.026918657569457657
23,acl,0.029098622500896454,0.027009489441600937
24,acl,0.03360123932361603,0.027273159436881543
25,acl,0.036742061376571655,0.02763734797302347
26,acl,0.03800119459629059,0.028021194144255586
27,acl,0.033637434244155884,0.028221774147823453
28,acl,0.03348839655518532,0.028403381817042828
29,acl,0.035391006618738174,0.028636302643766005
30,acl,0.03131188824772835,0.02872261185679705
31,acl,0.028797592967748642,0.028724955016514286
32,acl,0.02816508710384369,0.028707989322190933
33,acl,0.023905696347355843,0.028566745411166373
34,acl,0.02343188412487507,0.028420035088700907
35,acl,0.02076965942978859,0.028207524653731122
36,acl,0.01867334358394146,0.027949844084277347
37,acl,0.015613884665071964,0.027625213573245627
38,acl,0.01928621530532837,0.027411393104837492
39,acl,0.019002746790647507,0.027201176946982743
40,acl,0.016212519258260727,0.0269331609057944
41,acl,0.017104143276810646,0.02669913667653288
42,acl,0.01721988618373871,0.026478688990653948
43,acl,0.018682682886719704,0.02630150703374635
44,acl,0.020352087914943695,0.02616929771999518
45,acl,0.021945426240563393,0.026077474426964054
46,acl,0.02105577290058136,0.025970629713636763
47,acl,0.01873145066201687,0.025819813483394682
48,acl,0.024191949516534805,0.025786591769785296
49,acl,0.030427906662225723,0.025879418067634104
50,acl,0.027301309630274773,0.02590729829435255
51,acl,0.03693673759698868,0.026119402896326322
52,acl,0.04586518183350563,0.026491964763065555
53,acl,0.0438508614897728,0.026813425813560134
54,acl,0.0414620041847229,0.027079763602126727
55,acl,0.054824527353048325,0.027575205811964616
56,acl,0.06449635326862335,0.028222945241028804
57,acl,0.06723661720752716,0.02889559475769257
58,acl,0.058518242090940475,0.0293976735260527
59,acl,0.06753310561180115,0.030033264060815176
60,acl,0.06407530605792999,0.030591330323062958
61,acl,0.06587953865528107,0.031160494973582607
62,acl,0.06855989992618561,0.03175413632203662
63,acl,0.06022785231471062,0.03219903813442215
64,acl,0.060060884803533554,0.03262768192933156
65,acl,0.053334832191467285,0.03294142663027301
66,acl,0.04869074001908302,0.033176491009210475
67,acl,0.046071022748947144,0.033366116475971305
68,acl,0.04769733175635338,0.03357381524815076
69,acl,0.04370073229074478,0.033718485491616386
70,acl,0.04549431428313255,0.03388434223515887
71,acl,0.046888627111911774,0.034064957302891545
