step,horizon,correction_norm
440,1,0.1711629182100296
440,2,0.2848171591758728
440,3,0.2404426634311676
440,4,0.19792954623699188
440,5,0.36316633224487305
440,6,0.2516406774520874
440,7,0.3190566301345825
440,8,0.2953786253929138
440,9,0.3308742344379425
440,10,0.30013900995254517
450,1,0.16124123334884644
450,2,0.25976452231407166
450,3,0.21099090576171875
450,4,0.17995236814022064
450,5,0.3307413160800934
450,6,0.21614235639572144
450,7,0.2731640636920929
450,8,0.2697087824344635
450,9,0.2794671058654785
450,10,0.2446054369211197
460,1,0.27928730845451355
460,2,0.2562529742717743
460,3,0.23110219836235046
460,4,0.26113924384117126
460,5,0.21773870289325714
460,6,0.2419213354587555
460,7,0.22837568819522858
460,8,0.19761978089809418
460,9,0.21890386939048767
460,10,0.21376457810401917
470,1,0.27516645193099976
470,2,0.23703013360500336
470,3,0.23038189113140106
470,4,0.2493574023246765
470,5,0.20032307505607605
470,6,0.22709883749485016
470,7,0.2388152927160263
470,8,0.19800923764705658
470,9,0.21682995557785034
470,10,0.1980624943971634
480,1,0.255787193775177
480,2,0.23924650251865387
480,3,0.2826407253742218
480,4,0.3272058963775635
480,5,0.19741100072860718
480,6,0.2476195991039276
480,7,0.28836286067962646
480,8,0.1928779035806656
480,9,0.18019059300422668
480,10,0.2290673553943634
490,1,0.2046767771244049
490,2,0.25990739464759827
490,3,0.22338217496871948
490,4,0.20934057235717773
490,5,0.24357305467128754
490,6,0.1874549686908722
490,7,0.18505410850048065
490,8,0.18868185579776764
490,9,0.16380834579467773
490,10,0.21015550196170807
500,1,0.24702753126621246
500,2,0.2323371320962906
500,3,0.1701168268918991
500,4,0.19937960803508759
500,5,0.19053563475608826
500,6,0.23685604333877563
500,7,0.22002674639225006
500,8,0.21835877001285553
500,9,0.2568521201610565
500,10,0.23546797037124634
510,1,0.30622923374176025
510,2,0.2639648914337158
510,3,0.23087948560714722
510,4,0.2530645430088043
510,5,0.2017735242843628
510,6,0.2241385579109192
510,7,0.24407097697257996
510,8,0.18562866747379303
510,9,0.24168872833251953
510,10,0.20747287571430206
520,1,0.22132454812526703
520,2,0.20359930396080017
520,3,0.21234166622161865
520,4,0.23751893639564514
520,5,0.23735003173351288
520,6,0.20482584834098816
520,7,0.22198499739170074
520,8,0.18965022265911102
520,9,0.21731063723564148
520,10,0.2037944346666336
530,1,0.12981894612312317
530,2,0.2220989614725113
530,3,0.23891538381576538
530,4,0.17931880056858063
530,5,0.221085786819458
530,6,0.19273033738136292
530,7,0.1560225486755371
530,8,0.18595658242702484
530,9,0.18629565834999084
530,10,0.23017741739749908
540,1,0.23167525231838226
540,2,0.3475184738636017
540,3,0.2821566164493561
540,4,0.265331894159317
540,5,0.2769864797592163
540,6,0.22079730033874512
540,7,0.2662676274776459
540,8,0.298706591129303
540,9,0.19577579200267792
540,10,0.2851237952709198
550,1,0.23919011652469635
550,2,0.29844409227371216
550,3,0.2341095507144928
550,4,0.2466084510087967
550,5,0.2043653428554535
550,6,0.18656982481479645
550,7,0.24034464359283447
550,8,0.23117350041866302
550,9,0.1977296769618988
550,10,0.21911105513572693
560,1,0.221898153424263
560,2,0.2775339186191559
560,3,0.21659311652183533
560,4,0.2798580825328827
560,5,0.21365173161029816
560,6,0.18983733654022217
560,7,0.26612260937690735
560,8,0.26795458793640137
560,9,0.19320324063301086
560,10,0.24939951300621033
570,1,0.3098244369029999
570,2,0.37829047441482544
570,3,0.31681743264198303
570,4,0.30503854155540466
570,5,0.3030991852283478
570,6,0.3075365722179413
570,7,0.2510419487953186
570,8,0.25154200196266174
570,9,0.1910516917705536
570,10,0.2493811696767807
580,1,0.2512436807155609
580,2,0.2392769455909729
580,3,0.21977151930332184
580,4,0.2478017508983612
580,5,0.23947806656360626
580,6,0.21857178211212158
580,7,0.2326134890317917
580,8,0.27616649866104126
580,9,0.25982463359832764
580,10,0.2535191774368286
590,1,0.18741817772388458
590,2,0.1461596041917801
590,3,0.2088785320520401
590,4,0.23458243906497955
590,5,0.3007686138153076
590,6,0.22398057579994202
590,7,0.2817678451538086
590,8,0.1718534380197525
590,9,0.1790810227394104
590,10,0.15831546485424042
600,1,0.25660067796707153
600,2,0.30905646085739136
600,3,0.3519265651702881
600,4,0.2171301543712616
600,5,0.2202596813440323
600,6,0.24852398037910461
600,7,0.24416926503181458
600,8,0.26860859990119934
600,9,0.18997611105442047
600,10,0.23891550302505493
610,1,0.25357702374458313
610,2,0.31688886880874634
610,3,0.30148816108703613
610,4,0.20910970866680145
610,5,0.26054051518440247
610,6,0.1647435575723648
610,7,0.1731034517288208
610,8,0.23526149988174438
610,9,0.1949029117822647
610,10,0.24941784143447876
620,1,0.3489835560321808
620,2,0.2631855607032776
620,3,0.23002183437347412
620,4,0.3338210880756378
620,5,0.26272839307785034
620,6,0.20638994872570038
620,7,0.2794492244720459
620,8,0.16128799319267273
620,9,0.18876974284648895
620,10,0.22797344624996185
630,1,0.253401517868042
630,2,0.2665223181247711
630,3,0.17505177855491638
630,4,0.2613391578197479
630,5,0.25377923250198364
630,6,0.16841749846935272
630,7,0.21802598237991333
630,8,0.16837933659553528
630,9,0.17335805296897888
630,10,0.18120914697647095
640,1,0.1891617774963379
640,2,0.2687838077545166
640,3,0.18060696125030518
640,4,0.30027326941490173
640,5,0.2864929735660553
640,6,0.2468664050102234
640,7,0.2044563889503479
