horizon,metric,value
1,correction_norm,0.2792371796659339
1,mse_improve,-0.013253262341396892
2,correction_norm,0.26910243021445956
2,mse_improve,-0.005088191732165202
3,correction_norm,0.26387765676943803
3,mse_improve,-0.0058482896218347786
4,correction_norm,0.263185168012752
4,mse_improve,-0.006401752800348416
5,correction_norm,0.2529443911365678
5,mse_improve,-0.01662812174190229
6,correction_norm,0.2600281208510225
6,mse_improve,-0.009286955925612593
7,correction_norm,0.25929300090176377
7,mse_improve,-0.007880419006000212
8,correction_norm,0.2552269079989225
8,mse_improve,-0.013109031587314966
9,correction_norm,0.252505674209427
9,mse_improve,-0.0130905459386919
10,correction_norm,0.24799449279455085
10,mse_improve,-0.008500716302674918
11,correction_norm,0.2411955169416103
11,mse_improve,-0.01950657410762418
12,correction_norm,0.2452643130480045
12,mse_improve,-0.01061466248266062
13,correction_norm,0.23436807763374332
13,mse_improve,-0.007827867702323587
14,correction_norm,0.23701122893610194
14,mse_improve,-0.006612786302464691
15,correction_norm,0.23405107093890706
15,mse_improve,-0.01822940119771502
16,correction_norm,0.23626342767746605
16,mse_improve,-0.008241794254612083
17,correction_norm,0.2325227451346927
17,mse_improve,-0.015413451883661089
18,correction_norm,0.22566773778941462
18,mse_improve,-0.01047581974323371
19,correction_norm,0.22127562240889323
19,mse_improve,-0.007172728996330769
20,correction_norm,0.2201254984560474
20,mse_improve,-0.00708016504220028
21,correction_norm,0.2156689999363006
21,mse_improve,-0.009616079398585324
22,correction_norm,0.21381992898675514
22,mse_improve,-0.010299453970475412
23,correction_norm,0.21276613689921609
23,mse_improve,-0.0013578559772752638
24,correction_norm,0.20810190309307083
24,mse_improve,-0.006542309884674585
