bucket,sample_id,mse
2,0,1.439152717590332
2,10,1.4774833917617798
3,20,1.3326772451400757
3,30,1.3342946767807007
0,40,0.8227613568305969
0,50,0.9376929402351379
1,60,1.1758954524993896
1,70,1.0570051670074463
1,80,0.845482349395752
1,90,0.9822871088981628
2,100,0.816579282283783
2,110,0.9947640299797058
0,120,1.2272329330444336
0,130,1.5776087045669556
1,140,1.4123471975326538
1,150,1.802166223526001
2,160,1.8901947736740112
2,170,1.9409419298171997
3,180,1.7610650062561035
3,190,1.50288724899292
0,200,2.2408676147460938
0,210,2.108370780944824
1,220,2.4231772422790527
1,230,1.4754304885864258
2,240,1.1709787845611572
2,250,1.9169926643371582
3,260,1.4270050525665283
3,270,1.3989211320877075
0,280,1.3040491342544556
0,290,1.1717973947525024
0,300,1.3045717477798462
0,310,1.2609494924545288
2,320,1.0943453311920166
2,330,0.9429819583892822
3,340,0.7762172818183899
3,350,0.7326543927192688
3,360,0.757638156414032
3,370,0.7628964781761169
1,380,0.7837842702865601
1,390,0.6278946995735168
2,400,0.6001282930374146
2,410,0.6053093671798706
2,420,0.613368034362793
2,430,0.527739942073822
0,440,0.5796585083007812
0,450,0.5026485323905945
1,460,0.5830643773078918
1,470,0.5547547936439514
2,480,0.6027987599372864
2,490,0.6892586350440979
3,500,0.6603732705116272
3,510,0.6489993333816528
0,520,0.7595382332801819
0,530,0.7844544649124146
1,540,0.8648996949195862
1,550,0.7813090085983276
1,560,0.8034945726394653
1,570,0.7922279238700867
2,580,0.6965409517288208
2,590,0.6888915300369263
0,600,0.5690718293190002
0,610,0.5858603715896606
1,620,0.6390373706817627
1,630,0.44518035650253296
2,640,0.4797370731830597
2,650,0.4762479066848755
3,660,0.5075607299804688
3,670,0.4198126494884491
0,680,0.39225777983665466
0,690,0.48036491870880127
1,700,0.44820335507392883
1,710,0.518886923789978
2,720,0.4611257016658783
2,730,0.39189162850379944
3,740,0.418058305978775
3,750,0.44630172848701477
0,760,0.4120144844055176
0,770,0.45608144998550415
0,780,0.5505898594856262
0,790,0.5239055752754211
2,800,0.4839506149291992
2,810,0.4576784670352936
3,820,0.35580316185951233
3,830,0.3274305462837219
3,840,0.5650730133056641
3,850,1.0154472589492798
1,860,2.033376932144165
1,870,3.0873146057128906
2,880,3.6067330837249756
2,890,3.631119728088379
2,900,3.1441946029663086
2,910,2.845116138458252
0,920,4.059691905975342
0,930,2.83487868309021
1,940,2.7229397296905518
1,950,2.9923744201660156
2,960,2.6661007404327393
2,970,2.231504201889038
3,980,2.5567564964294434
3,990,4.382286071777344
0,1000,6.104861259460449
0,1010,6.871383190155029
1,1020,6.85805082321167
1,1030,6.928077220916748
1,1040,6.059356689453125
1,1050,4.642482280731201
2,1060,7.3031182289123535
2,1070,5.337202072143555
0,1080,5.143853664398193
0,1090,5.4969258308410645
1,1100,5.281586647033691
1,1110,4.5528130531311035
2,1120,4.5222625732421875
2,1130,4.404781818389893
3,1140,4.211256980895996
3,1150,4.1950507164001465
0,1160,4.235686302185059
0,1170,5.648913860321045
1,1180,4.123669147491455
1,1190,3.401536226272583
2,1200,2.9528274536132812
2,1210,4.028152942657471
3,1220,5.513575077056885
3,1230,4.8881072998046875
0,1240,4.853356838226318
0,1250,4.798792362213135
0,1260,6.316114902496338
0,1270,4.451574802398682
2,1280,4.153371334075928
2,1290,3.8932597637176514
3,1300,3.5446927547454834
3,1310,3.567211627960205
3,1320,1.9745746850967407
3,1330,1.660951852798462
1,1340,1.2482779026031494
1,1350,1.4158092737197876
2,1360,2.0085067749023438
2,1370,1.3197757005691528
2,1380,1.1196447610855103
2,1390,1.0125218629837036
0,1400,0.7244455218315125
0,1410,0.5652142763137817
1,1420,0.7197123765945435
1,1430,0.9603451490402222
2,1440,0.6674861311912537
2,1450,0.5648329854011536
3,1460,0.5255430340766907
3,1470,0.65873122215271
0,1480,0.5510247945785522
0,1490,0.7773204445838928
1,1500,1.1338378190994263
1,1510,1.0965772867202759
1,1520,1.1793073415756226
1,1530,0.8576063513755798
2,1540,0.741622805595398
2,1550,0.7134371995925903
0,1560,1.037845253944397
0,1570,0.9332758784294128
1,1580,0.7165517210960388
2,1590,0.6743858456611633
2,1600,0.6058448553085327
3,1610,0.7958558201789856
3,1620,0.7061458826065063
0,1630,0.6228583455085754
0,1640,1.1855199337005615
1,1650,1.2560402154922485
1,1660,1.9866515398025513
2,1670,1.5825153589248657
2,1680,1.680702805519104
3,1690,1.9277417659759521
3,1700,0.7871482968330383
0,1710,0.6817024946212769
0,1720,0.5197195410728455
0,1730,0.49506092071533203
0,1740,0.4904620945453644
2,1750,0.5455449223518372
2,1760,0.5676699280738831
3,1770,0.5887721180915833
3,1780,0.48372548818588257
3,1790,0.5794835090637207
3,1800,0.6317653656005859
1,1810,0.6918424963951111
1,1820,0.6736353635787964
2,1830,0.8392143249511719
2,1840,0.8020586967468262
2,1850,0.8732641935348511
2,1860,1.037730097770691
0,1870,1.2281395196914673
0,1880,1.6145814657211304
1,1890,1.5509893894195557
1,1900,1.6112812757492065
2,1910,1.7326359748840332
2,1920,1.7903153896331787
3,1930,1.9836161136627197
3,1940,1.6228125095367432
0,1950,1.8649179935455322
0,1960,1.9457719326019287
1,1970,2.1889450550079346
1,1980,2.066659450531006
1,1990,1.6978142261505127
1,2000,1.5189508199691772
2,2010,1.256996750831604
2,2020,1.3331000804901123
0,2030,1.1598660945892334
0,2040,1.3171364068984985
1,2050,1.5449644327163696
1,2060,1.455919861793518
2,2070,1.0910404920578003
2,2080,1.1206964254379272
3,2090,0.9486088156700134
3,2100,1.037725567817688
0,2110,1.3407742977142334
