step,mean_similarity
0,nan
10,nan
20,nan
30,nan
40,nan
50,nan
60,0.6705788969993591
70,0.5563937425613403
80,0.5119670033454895
90,0.7212907075881958
100,0.5582528114318848
110,0.4502444267272949
120,0.7032024264335632
130,0.664704442024231
140,0.5704168081283569
150,0.7111253142356873
160,0.7318376898765564
170,0.7585284113883972
180,0.7892187833786011
190,0.7285861968994141
200,0.7952772378921509
210,0.7917238473892212
220,0.8453335165977478
230,0.8654689192771912
240,0.6520189642906189
250,0.6820382475852966
260,0.790728747844696
270,0.7836716771125793
280,0.6837192177772522
290,0.7743967175483704
300,0.7178060412406921
310,0.767363429069519
320,0.7067810893058777
330,0.5904707908630371
340,0.9168335199356079
350,0.8819252252578735
360,0.8567869067192078
370,0.8302019238471985
380,0.7361523509025574
390,0.6554840207099915
400,0.6059936881065369
410,0.47182103991508484
420,0.43271371722221375
430,0.34308740496635437
440,0.6368641257286072
450,0.6521536707878113
460,0.8867138028144836
470,0.8859161734580994
480,0.8466104865074158
490,0.8704091310501099
500,0.8587900996208191
510,0.8571721911430359
520,0.8867576718330383
530,0.9180216789245605
540,0.9283056259155273
550,0.9197487831115723
560,0.8872330784797668
570,0.8149179816246033
580,0.8168285489082336
590,0.7595746517181396
600,0.8354912996292114
610,0.8918531537055969
620,0.8085381388664246
630,0.7132289409637451
640,0.9363881945610046
650,0.9082950949668884
660,0.5088397264480591
670,0.41043636202812195
680,0.8746301531791687
690,0.8853691220283508
700,0.8936290144920349
710,0.7920016050338745
720,0.9483650326728821
730,0.8848636746406555
740,0.9346917271614075
750,0.9314476251602173
760,0.90845787525177
770,0.8787388205528259
780,0.9121069312095642
790,0.8937448859214783
800,0.9467688798904419
810,0.9505006670951843
820,0.9331578612327576
830,0.9270248413085938
840,0.9478685259819031
850,0.9421667456626892
860,0.873274028301239
870,0.8777329325675964
880,0.9315008521080017
890,0.8492645621299744
900,0.7714003920555115
910,0.7084455490112305
920,0.7247693538665771
930,0.6874035596847534
940,0.84589022397995
950,0.856245219707489
960,0.9635996222496033
970,0.9441984295845032
980,0.7038998007774353
990,0.8103796243667603
1000,0.9173800349235535
1010,0.9003999829292297
1020,0.9435306787490845
1030,0.9295144081115723
1040,0.8845872282981873
1050,0.7644268274307251
1060,0.8155967593193054
1070,0.7226130366325378
1080,0.8081925511360168
1090,0.8393911719322205
1100,0.9596816897392273
1110,0.9431824088096619
1120,0.9633345007896423
1130,0.9641708731651306
1140,0.8270344138145447
1150,0.8073857426643372
1160,0.972385048866272
1170,0.9365202784538269
1180,0.9585039019584656
1190,0.9506589770317078
1200,0.9059559106826782
1210,0.8700489401817322
1220,0.777430534362793
1230,0.733086109161377
1240,0.9105912446975708
1250,0.9120487570762634
1260,0.896335780620575
1270,0.8533027768135071
1280,0.9363127946853638
1290,0.9267961382865906
1300,0.8488863110542297
1310,0.7928627729415894
1320,0.7288722395896912
1330,0.7087359428405762
1340,0.6009711623191833
1350,0.5863179564476013
1360,0.8096874356269836
1370,0.5520308017730713
1380,0.513438880443573
1390,0.49513790011405945
1400,0.4394555985927582
1410,0.4707280099391937
1420,0.7430179119110107
1430,0.8625224232673645
1440,0.8851528167724609
1450,0.8746299743652344
1460,0.4747173488140106
1470,0.5492238402366638
1480,0.8761693239212036
1490,0.8331799507141113
1500,0.8960813879966736
1510,0.8680841326713562
1520,0.835652768611908
1530,0.8424474596977234
1540,0.791313111782074
1550,0.8573398590087891
1560,0.8235298991203308
1570,0.8021866083145142
1580,0.9240517020225525
1590,0.9408891797065735
1600,0.9534997940063477
1610,0.7680612802505493
1620,0.6162373423576355
1630,0.9242948889732361
1640,0.8536341786384583
1650,0.9122169613838196
