step,mean_similarity
0,nan
10,nan
20,nan
30,nan
40,nan
50,nan
60,nan
70,nan
80,0.8728057742118835
90,0.8702914118766785
100,0.9381653666496277
110,0.8870865702629089
120,0.8058658838272095
130,0.8382465243339539
140,0.7303411364555359
150,0.7696947455406189
160,0.8729118704795837
170,0.9354255795478821
180,0.8572012186050415
190,0.916015625
200,0.9363164305686951
210,0.9192665219306946
220,0.8596494793891907
230,0.7914435267448425
240,0.8330947160720825
250,0.774823784828186
260,0.8588747382164001
270,0.916573166847229
280,0.870095431804657
290,0.8530182242393494
300,0.8974130749702454
310,0.9087311029434204
320,0.7706712484359741
330,0.7615262866020203
340,0.8940703272819519
350,0.882745087146759
360,0.9101687669754028
370,0.8995020985603333
380,0.92792147397995
390,0.8263404965400696
400,0.8299358487129211
410,0.9156787991523743
420,0.8470312356948853
430,0.8487343192100525
440,0.7100263833999634
450,0.9453941583633423
460,0.8985108733177185
470,0.9188589453697205
480,0.9416268467903137
490,0.8756439089775085
500,0.9066590666770935
510,0.7093411684036255
520,0.673915445804596
530,0.8535852432250977
540,0.6944512724876404
550,0.8588678240776062
560,0.851911723613739
570,0.8696266412734985
580,0.9225826263427734
590,0.8746245503425598
600,0.8514392971992493
610,0.7221457362174988
620,0.6188129782676697
630,0.599632203578949
640,0.8329912424087524
650,0.9223858118057251
660,0.8905820846557617
670,0.9121527671813965
680,0.9432836771011353
690,0.8984869122505188
700,0.949821412563324
710,0.8645836114883423
720,0.828847348690033
730,0.8473823666572571
740,0.8454006314277649
750,0.8872367143630981
760,0.9172312021255493
770,0.9053316116333008
780,0.9482986330986023
790,0.9744762778282166
800,0.9762226343154907
810,0.9786645770072937
820,0.9820589423179626
830,0.9837730526924133
840,0.9847105145454407
850,0.9844179153442383
860,0.9844046831130981
870,0.9848915338516235
880,0.9849126935005188
890,0.9840801358222961
900,0.984288215637207
910,0.9844017028808594
920,0.9843429923057556
930,0.9850158095359802
940,0.9813103079795837
950,0.9790387153625488
960,0.9832164645195007
970,0.9801396727561951
980,0.9465657472610474
990,0.870215117931366
1000,0.9059891104698181
1010,0.8823367953300476
1020,0.8627811670303345
1030,0.9208618998527527
1040,0.9557269215583801
1050,0.8868106007575989
1060,0.87710040807724
1070,0.9285467267036438
1080,0.7860612869262695
1090,0.5257629752159119
1100,0.7968977689743042
1110,0.7349115014076233
1120,0.8670347332954407
1130,0.9045029878616333
1140,0.8943115472793579
1150,0.9313424229621887
1160,0.9145426154136658
1170,0.9344474673271179
1180,0.9422093629837036
1190,0.87722247838974
1200,0.8476964831352234
1210,0.8497152328491211
1220,0.9565483927726746
1230,0.9327825903892517
1240,0.9097418189048767
1250,0.9217804074287415
1260,0.8679580092430115
1270,0.8482828140258789
1280,0.7440497279167175
1290,0.7959279417991638
1300,0.951874852180481
1310,0.9193235635757446
1320,0.9133745431900024
1330,0.8944401144981384
1340,0.9320144057273865
1350,0.9643542170524597
1360,0.9593189358711243
1370,0.9396201968193054
1380,0.8239283561706543
1390,0.8607963919639587
1400,0.8233272433280945
1410,0.9212417006492615
1420,0.919385552406311
1430,0.9404829144477844
1440,0.9690724611282349
1450,0.9515353441238403
1460,0.9543165564537048
1470,0.9489618539810181
1480,0.9334196448326111
1490,0.9661043286323547
1500,0.9623681306838989
1510,0.9580612182617188
1520,0.9631916284561157
1530,0.9601297378540039
1540,0.9739317297935486
1550,0.9632050395011902
1560,0.9565555453300476
1570,0.7953072786331177
1580,0.767259418964386
1590,0.7525476813316345
1600,0.9295114874839783
1610,0.889307975769043
1620,0.9127041101455688
1630,0.9452881217002869
1640,0.9346920251846313
1650,0.9462810754776001
1660,0.9240975379943848
1670,0.7963916659355164
