bucket,sample_id,mse
3,0,0.15411964058876038
2,10,0.15204674005508423
3,20,0.21542926132678986
2,30,0.26515960693359375
1,40,0.08490494638681412
0,50,0.12832795083522797
1,60,0.07043163478374481
1,70,0.24514131247997284
3,80,0.5063044428825378
2,90,0.4537501335144043
0,100,0.09485732764005661
3,110,0.2076759785413742
1,120,0.3556791841983795
0,130,0.11965247988700867
2,140,0.03909683972597122
1,150,0.04875582829117775
2,160,0.055319808423519135
2,170,0.1217954084277153
0,180,0.2763148844242096
3,190,0.5345162153244019
0,200,0.1417733132839203
3,210,0.21905940771102905
2,220,0.1369960457086563
1,230,0.06603870540857315
3,240,0.07461325824260712
1,250,0.14738334715366364
0,260,0.07847888022661209
3,270,0.3710709512233734
1,280,0.32813745737075806
0,290,0.04577324911952019
2,300,0.07331325113773346
1,310,0.13621196150779724
2,320,0.1311470866203308
2,330,0.09428004920482635
0,340,0.17851662635803223
2,350,0.2812578082084656
1,360,0.16631725430488586
0,370,0.2554580569267273
2,380,0.27185437083244324
0,390,0.15086208283901215
3,400,0.13803867995738983
2,410,0.16149954497814178
0,420,0.0992106944322586
3,430,0.09645809978246689
1,440,0.06472569704055786
0,450,0.15381549298763275
2,460,0.4476328492164612
1,470,0.27142101526260376
3,480,0.15882983803749084
2,490,0.32642173767089844
3,500,0.3064739406108856
2,510,0.18392495810985565
1,520,0.08278963714838028
0,530,0.06864286959171295
1,540,0.047630179673433304
1,550,0.18931597471237183
3,560,0.6161041259765625
2,570,0.4365025460720062
0,580,0.08511809259653091
3,590,0.23183917999267578
1,600,0.18604721128940582
0,610,0.1024424284696579
2,620,0.13184542953968048
1,630,0.04832566902041435
2,640,0.09194955229759216
2,650,0.4231255054473877
0,660,0.7573431134223938
3,670,0.48623213171958923
0,680,0.5404757857322693
3,690,2.1730406284332275
2,700,2.7314581871032715
1,710,0.924868643283844
3,720,0.4235682785511017
1,730,0.36510780453681946
0,740,0.3067062199115753
3,750,0.6608579158782959
1,760,0.9649015069007874
0,770,0.1585599035024643
2,780,0.1694132685661316
1,790,0.09655772894620895
2,800,0.03322717919945717
2,810,0.03454139828681946
0,820,0.048098281025886536
2,830,0.12783773243427277
1,840,0.1344725489616394
0,850,0.3305842876434326
2,860,0.3505952060222626
0,870,0.03876898065209389
3,880,0.054138265550136566
2,890,0.0419369600713253
0,900,0.055132605135440826
3,910,0.06753086298704147
1,920,0.20695586502552032
0,930,0.5380014181137085
2,940,1.1933947801589966
1,950,0.8206643462181091
3,960,0.18696404993534088
2,970,0.23456460237503052
3,980,0.7648587226867676
2,990,0.9166076183319092
1,1000,0.26936039328575134
0,1010,0.32598912715911865
1,1020,0.30897843837738037
1,1030,0.21195076406002045
3,1040,0.575802206993103
2,1050,0.6940309405326843
0,1060,0.4078940451145172
3,1070,0.6723104119300842
1,1080,0.22347727417945862
0,1090,0.1343105137348175
2,1100,0.13057978451251984
1,1110,0.15412744879722595
2,1120,0.2821316421031952
2,1130,0.2119978815317154
0,1140,0.3727858364582062
3,1150,0.2830858826637268
0,1160,0.2651609182357788
3,1170,0.31679102778434753
2,1180,0.26443156599998474
1,1190,0.13281281292438507
3,1200,0.13204346597194672
1,1210,0.3322167694568634
0,1220,0.31884312629699707
3,1230,0.38079604506492615
1,1240,0.5685282945632935
0,1250,0.142358660697937
2,1260,0.1393851786851883
1,1270,0.25982430577278137
2,1280,0.24845091998577118
2,1290,0.14781363308429718
0,1300,0.1148003339767456
2,1310,0.11622502654790878
1,1320,0.24076952040195465
0,1330,0.6959100365638733
2,1340,0.6595332026481628
0,1350,0.15880975127220154
3,1360,0.37822073698043823
2,1370,0.43289315700531006
0,1380,0.17838844656944275
3,1390,0.07290162146091461
1,1400,0.04633138328790665
0,1410,0.06593327224254608
2,1420,0.27506929636001587
1,1430,0.29802054166793823
3,1440,0.10466334968805313
2,1450,0.07754398137331009
3,1460,0.12995775043964386
2,1470,0.1243664100766182
1,1480,0.07797262072563171
0,1490,0.049512170255184174
1,1500,0.05504748970270157
1,1510,0.12540774047374725
3,1520,0.557317316532135
2,1530,0.7770950198173523
0,1540,0.09595619142055511
3,1550,0.17076504230499268
1,1560,0.2257630079984665
0,1570,0.13713400065898895
2,1580,0.0924612283706665
1,1590,0.07267405092716217
2,1600,0.10865016281604767
2,1610,0.0936376228928566
0,1620,0.2664039433002472
3,1630,0.32170554995536804
0,1640,0.08290237188339233
3,1650,0.14252948760986328
2,1660,0.19373376667499542
1,1670,0.1488284021615982
3,1680,0.07385393232107162
1,1690,0.0929742231965065
0,1700,0.10240327566862106
3,1710,0.15236112475395203
1,1720,0.3485644459724426
0,1730,0.175015389919281
2,1740,0.21231111884117126
1,1750,0.1426297128200531
2,1760,0.15051837265491486
2,1770,0.04758191108703613
0,1780,0.06787637621164322
2,1790,0.049297891557216644
1,1800,0.2736636698246002
0,1810,0.4980660378932953
2,1820,0.5193771719932556
0,1830,0.08729825168848038
3,1840,0.16508430242538452
2,1850,0.160869762301445
0,1860,0.0750545933842659
3,1870,0.06247393414378166
1,1880,0.04339471831917763
0,1890,0.08227573335170746
2,1900,0.12755873799324036
1,1910,0.1089724525809288
3,1920,0.15536367893218994
2,1930,0.1448558270931244
3,1940,0.10680748522281647
2,1950,0.12567880749702454
1,1960,0.10360591113567352
0,1970,0.195498988032341
1,1980,0.07265829294919968
1,1990,0.165012389421463
3,2000,0.29510706663131714
2,2010,0.35536277294158936
0,2020,0.06359242647886276
3,2030,0.08280153572559357
1,2040,0.15666185319423676
0,2050,0.1838902086019516
2,2060,0.061347514390945435
1,2070,0.028324900195002556
2,2080,0.050308000296354294
2,2090,0.24436216056346893
0,2100,0.6427538394927979
3,2110,0.52128005027771
0,2120,0.12393944710493088
3,2130,0.22846953570842743
2,2140,0.17420469224452972
1,2150,0.05971512570977211
3,2160,0.06587372720241547
1,2170,0.057244960218667984
0,2180,0.06942834705114365
3,2190,0.16358359158039093
1,2200,0.15463611483573914
0,2210,0.2890643775463104
2,2220,0.4613315165042877
1,2230,0.4138141870498657
2,2240,0.41518139839172363
2,2250,0.0495331808924675
0,2260,0.08188594877719879
2,2270,0.135544091463089
1,2280,0.2316126674413681
0,2290,0.6687054634094238
2,2300,0.27934956550598145
0,2310,0.07272405922412872
3,2320,0.09522344917058945
2,2330,0.08947648853063583
0,2340,0.12485674768686295
3,2350,0.08031367510557175
1,2360,0.0683286115527153
0,2370,0.16573786735534668
2,2380,0.13799168169498444
1,2390,0.2199859470129013
3,2400,0.07810056209564209
2,2410,0.09817628562450409
3,2420,0.13956330716609955
2,2430,0.20187728106975555
1,2440,0.08360670506954193
0,2450,0.07402291893959045
1,2460,0.07273833453655243
1,2470,0.30177393555641174
3,2480,0.5266674757003784
2,2490,0.4555901288986206
0,2500,0.05414239689707756
3,2510,0.14764651656150818
1,2520,0.15681317448616028
0,2530,0.09707426279783249
2,2540,0.06280485540628433
1,2550,0.04697519540786743
2,2560,0.055038243532180786
2,2570,0.20973247289657593
0,2580,0.4554804861545563
3,2590,0.09902093559503555
0,2600,0.13103748857975006
3,2610,0.14878861606121063
2,2620,0.35297539830207825
1,2630,0.08007024973630905
3,2640,0.06818359345197678
1,2650,0.06278765946626663
0,2660,0.0769854485988617
3,2670,0.1940670758485794
1,2680,0.6059489846229553
0,2690,0.400098979473114
2,2700,0.4996875822544098
1,2710,0.2877616584300995
2,2720,0.20129787921905518
2,2730,0.14587821066379547
0,2740,0.043286822736263275
2,2750,0.11944716423749924
1,2760,0.0926656574010849
0,2770,0.1186664029955864
2,2780,0.13514766097068787
0,2790,0.06222730875015259
3,2800,0.43564239144325256
2,2810,0.4392891526222229
0,2820,0.08648553490638733
3,2830,0.0641322210431099
1,2840,0.047282230108976364
0,2850,0.0709695890545845
2,2860,0.1353967785835266
1,2870,0.2370748370885849
3,2880,0.06580991297960281
2,2890,0.13836802542209625
3,2900,0.18455132842063904
2,2910,0.19717523455619812
1,2920,0.1537088304758072
0,2930,0.07082152366638184
1,2940,0.12187512964010239
1,2950,0.278054416179657
3,2960,0.24814878404140472
2,2970,0.18656794726848602
0,2980,0.15715214610099792
3,2990,0.15380504727363586
1,3000,0.275551438331604
0,3010,0.24783934652805328
2,3020,0.1802179217338562
1,3030,0.10942342132329941
2,3040,0.14088161289691925
2,3050,0.3002997040748596
0,3060,0.36682212352752686
3,3070,0.2873285412788391
0,3080,0.1431739777326584
3,3090,0.2670905888080597
2,3100,0.46410444378852844
1,3110,0.31070470809936523
3,3120,0.17826798558235168
1,3130,0.13176420331001282
0,3140,0.12788361310958862
3,3150,0.12391471862792969
1,3160,0.09307414293289185
0,3170,0.045230425894260406
2,3180,0.1058579757809639
1,3190,0.2977534830570221
2,3200,0.4366416931152344
2,3210,0.19881026446819305
0,3220,0.06387308984994888
2,3230,0.15866035223007202
1,3240,0.0952061116695404
0,3250,0.5743175745010376
2,3260,0.6056145429611206
0,3270,0.1255112588405609
3,3280,0.23585708439350128
2,3290,0.4486299455165863
0,3300,0.458950012922287
3,3310,0.2966153025627136
1,3320,0.17059795558452606
0,3330,0.13691988587379456
2,3340,0.423120379447937
1,3350,0.36918404698371887
3,3360,0.054582517594099045
2,3370,0.10894803702831268
3,3380,0.17247401177883148
2,3390,0.1714780181646347
1,3400,0.12378651648759842
0,3410,0.0986052006483078
1,3420,0.1095225065946579
1,3430,0.10571745783090591
3,3440,0.2511703670024872
2,3450,0.2237650603055954
0,3460,0.08457159250974655
3,3470,0.1321239322423935
1,3480,0.1326441615819931
0,3490,0.33680272102355957
2,3500,0.16207407414913177
1,3510,0.050476741045713425
2,3520,0.12640035152435303
2,3530,0.08078119903802872
0,3540,0.16634950041770935
3,3550,0.1625661700963974
0,3560,0.09999266266822815
3,3570,0.15372024476528168
2,3580,0.08476005494594574
1,3590,0.06735000014305115
3,3600,0.07997901737689972
1,3610,0.10270374268293381
0,3620,0.07600323110818863
3,3630,0.36857128143310547
1,3640,0.5836679339408875
0,3650,0.07770700752735138
2,3660,0.09998225420713425
1,3670,0.15341943502426147
2,3680,0.11549822986125946
2,3690,0.05341624096035957
0,3700,0.050021830946207047
2,3710,0.08703526854515076
1,3720,0.17510071396827698
0,3730,0.10839685797691345
2,3740,0.19608111679553986
0,3750,0.08517707139253616
3,3760,0.07723700255155563
2,3770,0.15351860225200653
0,3780,0.07137877494096756
3,3790,0.06101195514202118
1,3800,0.11584645509719849
0,3810,0.09850767999887466
2,3820,0.10481846332550049
1,3830,0.20021897554397583
3,3840,0.16450026631355286
2,3850,0.08764824271202087
3,3860,0.11762510240077972
2,3870,0.17439508438110352
1,3880,0.10950472205877304
0,3890,0.06805862486362457
1,3900,0.0653502568602562
1,3910,0.1373099386692047
3,3920,0.26306480169296265
2,3930,0.17652098834514618
0,3940,0.06966758519411087
3,3950,0.07362706959247589
1,3960,0.09019310027360916
0,3970,0.1919696033000946
2,3980,0.1553552895784378
1,3990,0.08116556704044342
2,4000,0.13143733143806458
2,4010,0.09096648544073105
0,4020,0.14404013752937317
3,4030,0.11575381457805634
0,4040,0.059860844165086746
3,4050,0.14386600255966187
2,4060,0.25450846552848816
1,4070,0.2521951496601105
3,4080,0.22978074848651886
1,4090,0.22364801168441772
0,4100,0.36005112528800964
3,4110,0.13657960295677185
1,4120,0.24414412677288055
0,4130,0.33737435936927795
2,4140,0.25551214814186096
1,4150,0.10396062582731247
2,4160,0.07058727741241455
2,4170,0.060660284012556076
0,4180,0.1133372038602829
2,4190,0.09878842532634735
1,4200,0.0928051546216011
0,4210,0.09199252724647522
2,4220,0.09971549361944199
0,4230,0.17844490706920624
3,4240,0.2415573000907898
2,4250,0.16696065664291382
0,4260,0.24902591109275818
3,4270,0.14449037611484528
1,4280,0.11440595984458923
0,4290,0.09649202227592468
2,4300,0.18145711719989777
1,4310,0.13981665670871735
3,4320,0.1617877334356308
2,4330,0.08219627290964127
3,4340,0.1967887431383133
2,4350,0.20125363767147064
1,4360,0.20943164825439453
0,4370,0.2445603609085083
1,4380,0.11601632088422775
1,4390,0.09893987327814102
3,4400,0.32489490509033203
2,4410,0.5709801912307739
0,4420,0.19098055362701416
3,4430,0.2094113975763321
1,4440,0.6374142169952393
0,4450,0.8532726168632507
2,4460,0.5719083547592163
1,4470,0.2042984515428543
2,4480,0.4043543338775635
2,4490,0.13844186067581177
0,4500,0.12209354341030121
3,4510,0.19878841936588287
0,4520,0.13368628919124603
3,4530,0.3012581765651703
2,4540,0.8351733088493347
1,4550,1.0880041122436523
3,4560,0.3060729503631592
1,4570,0.4239218533039093
0,4580,0.25651708245277405
3,4590,0.1832628846168518
1,4600,0.13777725398540497
0,4610,0.0678379237651825
2,4620,0.15132538974285126
1,4630,0.3499735891819
2,4640,0.6328554749488831
2,4650,0.20310138165950775
0,4660,0.2104617804288864
2,4670,0.16459126770496368
1,4680,0.08050145208835602
0,4690,0.09093810617923737
2,4700,0.14888538420200348
0,4710,0.0680079460144043
3,4720,0.1467079520225525
2,4730,0.29058837890625
0,4740,0.5048552751541138
3,4750,0.1565815806388855
1,4760,0.17152710258960724
0,4770,0.3602888882160187
2,4780,0.08708412200212479
1,4790,0.1345147043466568
3,4800,0.09594576060771942
2,4810,0.1787651926279068
3,4820,0.4575095474720001
2,4830,0.31307536363601685
1,4840,0.14340676367282867
0,4850,0.08947736769914627
1,4860,0.11699499934911728
1,4870,0.14021959900856018
3,4880,0.3118261992931366
2,4890,0.14741505682468414
0,4900,0.12109459191560745
3,4910,0.0781075656414032
1,4920,0.30610454082489014
0,4930,0.3575080931186676
2,4940,0.22259607911109924
1,4950,0.09303616732358932
2,4960,0.06880677491426468
2,4970,0.07828833907842636
0,4980,0.13451899588108063
3,4990,0.05265141651034355
0,5000,0.13708172738552094
3,5010,0.16115686297416687
2,5020,0.149380162358284
1,5030,0.1010042354464531
3,5040,0.08508668094873428
1,5050,0.06778459995985031
0,5060,0.07982232421636581
3,5070,0.28103914856910706
1,5080,0.4192625880241394
0,5090,0.13485835492610931
2,5100,0.24487464129924774
1,5110,1.068392276763916
2,5120,2.909022331237793
2,5130,1.3678464889526367
0,5140,0.8649653792381287
