step,ms_per_step,samples_per_sec
0,353.4533000056399,2.8292280761957618
1,29.804599995259196,33.55186783781909
2,26.140800007851794,38.2543762891585
3,32.245499998680316,31.012079206119495
4,36.26100000110455,27.577838448182316
5,33.62819999165367,29.73694697450932
6,33.711500000208616,29.663467955855175
7,34.54249999776948,28.949844396455763
8,32.57599999778904,30.69744597457855
9,26.434300001710653,37.829638005745814
10,27.585000003455207,36.25158600234705
11,35.692800011020154,28.016854931281657
12,30.59269998630043,32.68753658381918
13,36.86339998967014,27.127177641786158
14,27.600699992035516,36.23096516713565
15,56.55799999658484,17.680964674500217
16,54.28779999783728,18.420344903271786
17,38.294899990432896,26.113137787272642
18,42.01630000898149,23.800287026374
19,25.85029999318067,38.684270598940856
20,30.442600007518195,32.84870542440649
21,25.680199993075803,38.940506704372694
22,23.599299995112233,42.37413822474035
23,26.81129999109544,37.29770657641068
24,25.526400000671856,39.17512849339037
25,25.57939999678638,39.09395842457732
26,25.516900001093745,39.189713482324905
27,44.70499999297317,22.368862546855656
28,27.60669999406673,36.22309077922828
29,30.571000010240823,32.71073892463495
30,28.54849999130238,35.02811006899351
31,29.960700005176477,33.377057272601256
32,32.6340000028722,30.64288778304797
33,37.30820000055246,26.80375895875952
34,28.615399991394952,34.94621778135947
35,26.560099999187514,37.65046065453784
36,22.824600004241802,43.81237786485444
37,37.949099991237745,26.351086066096297
38,30.69359999790322,32.580081843391234
39,41.96470000897534,23.829551975496585
40,37.01649999129586,27.014979812654957
41,31.463999999687076,31.78235443713277
42,23.1198000110453,43.252969295679804
43,26.596299998345785,37.59921493073086
44,27.219700001296587,36.738097773023426
45,39.09109999949578,25.58127041738141
46,24.047900005825795,41.58367257672155
47,26.320399992982857,37.99334357633641
48,29.403299995465204,34.009788022236535
49,37.45230000640731,26.700629863290658
50,37.15250000823289,26.916089086290363
51,31.963100002030842,31.28607675527289
52,28.66770001128316,34.88246352537579
53,34.17070000432432,29.264838000785748
54,26.65329999581445,37.51880630755054
55,35.696199993253686,28.01418638927932
56,34.045799999148585,29.37219862729053
57,30.128400001558475,33.191274675995814
58,29.317000007722527,34.10990209559591
59,34.199199988506734,29.24045007883425
60,37.33910000300966,26.781577486318536
61,37.2611000057077,26.837640323200837
62,43.05790000944398,23.224541832757005
63,28.195899998536333,35.46614933560945
64,25.214699999196455,39.659405030869614
65,26.881800004048273,37.1998898827238
66,30.252600001404062,33.05501014635399
67,25.520099996356294,39.18479943819883
68,23.143300000810996,43.209049701855726
69,22.579999989829957,44.28697964793625
70,29.12389999255538,34.33606076987007
71,32.19769999850541,31.058119059635285
72,28.313899994827807,35.318341880937396
73,33.38750000693835,29.951329084004108
74,33.442800006014295,29.901802475276046
75,30.123899996397085,33.19623289546185
76,36.15210000134539,27.660910430176543
77,27.091700001619756,36.91167405294655
78,30.5437999923015,32.739868655899
79,38.00510001019575,26.312258084618296
80,37.53400000277907,26.642510788244223
81,26.930299995001405,37.132894924512996
82,25.96290000656154,38.51649853241635
83,31.462899991311133,31.78346561430009
84,29.045599992969073,34.4286225880018
85,31.73129999777302,31.514624363646696
86,28.46329999738373,35.132960692959614
87,29.828799990355037,33.52464733155018
88,33.7712000036845,29.611029513043604
89,33.721200001309626,29.654935173160005
90,30.012499992153607,33.31945023778217
91,36.54810000443831,27.361203451850095
92,29.51750000647735,33.87820783537085
93,29.06079999229405,34.41061499563558
94,23.633400007383898,42.31299769341547
95,24.875400005839765,40.200358577761136
96,32.84100000746548,30.44974269275229
97,24.157599997124635,41.39484055200125
98,25.99999999802094,38.46153846446607
99,52.11010000493843,19.19013780256094
100,47.67410000204109,20.975749934601527
101,31.065699993632734,32.1898428235952
102,35.35199999168981,28.286942753877288
103,33.785200008424,29.598759212633343
104,23.15910000470467,43.17957087265284
105,23.50730000762269,42.5399769295381
106,21.778200010885485,45.91747708718655
107,21.079199999803677,47.44013055568112
108,22.842099991976283,43.77881194597996
109,21.697900010622106,46.08740935806943
110,21.39369999349583,46.74273268784842
111,21.134700000402518,47.31555214793466
112,20.9195999923395,47.802061242384546
113,19.666399995912798,50.84814710408751
114,34.0796000091359,29.343067399028293
115,27.302200003759935,36.62708499176933
116,25.3629000071669,39.42766796058124
117,40.87250000156928,24.466328214853643
118,31.535600006463937,31.710194186729513
119,30.56500000820961,32.71716014171127
120,35.519899989594705,28.153232421626825
121,30.126400000881404,33.19347814444285
122,28.19219999946654,35.47080398191423
123,35.865300000295974,27.882103314115525
124,30.23009999014903,33.07961271467399
125,25.398199999472126,39.37286894428676
