step,ms_per_step,samples_per_sec
0,331.6620999976294,3.015116891580761
1,74.1554999985965,13.485176420075739
2,71.25740000628866,14.033630190152142
3,51.34770000586286,19.475068988208243
4,56.23700001160614,17.781887365855592
5,46.53979999420699,21.486985335658392
6,60.08100000326522,16.64419699981114
7,67.4631000001682,14.822918009956656
8,51.32600000069942,19.483302809226764
9,64.61849999323022,15.475444340316866
10,52.0329999999376,19.21857282880478
11,92.21630000683945,10.844069865369057
12,76.7896000033943,13.022596809409054
13,52.83929999859538,18.925307489436516
14,44.24930000095628,22.599227557913657
15,49.14110001118388,20.34956481992493
16,57.05600000510458,17.526640491982157
17,55.423800004064105,18.042790280108406
18,44.99270000087563,22.225827744957257
19,48.23279999254737,20.73277935667251
20,54.70880000211764,18.278595033363782
21,48.67730000114534,20.543456600437384
22,49.530000003869645,20.189783967734154
23,46.59209999954328,21.46286602256182
24,50.24779999803286,19.90136881692629
25,64.78309999511112,15.436124545992172
26,59.716999996453524,16.745650318324564
27,50.033799998345785,19.98648913400665
28,81.62880000600126,12.25057822639168
29,67.32230000488926,14.853919131214699
30,48.16069999651518,20.763817803153987
31,45.79760000342503,21.835205336638026
32,67.52270000288263,14.809834321751184
33,59.46109999786131,16.817717802663722
34,57.61849999544211,17.355536851516522
35,53.4959000069648,18.693021331911545
36,52.07440000958741,19.203293745408306
37,47.16539999935776,21.20198280972104
38,51.50299999513663,19.416344680784203
39,55.07100000977516,18.15837736417532
40,45.16330000478774,22.14187182721348
41,44.579800000065006,22.43168430541505
42,45.62939998868387,21.91569471104158
43,44.26749999402091,22.58993618648144
44,53.99760000000242,18.519341600366594
45,54.73160000110511,18.270980566616153
46,60.761400003684685,16.457816968327887
47,71.090199999162,14.06663647045286
48,70.83520000742283,14.117275025625817
49,58.33369999891147,17.142749388752307
50,48.582399991573766,20.583585828889518
51,44.272700004512444,22.587282905674968
52,48.41030000534374,20.656761058898944
53,52.94520000461489,18.887453440780966
54,53.888899987214245,18.55669720920749
55,41.06550000142306,24.351341149269984
56,48.606999989715405,20.57316847802964
57,54.921699993428774,18.207739383880092
58,55.5803999886848,17.991954001834863
59,55.21379999117926,18.111414178335057
60,55.79980000038631,17.9212111870128
61,45.180000000982545,22.13368747185154
62,58.90309999813326,16.97703516507097
63,46.837200003210455,21.350550415726282
64,65.37650000245776,15.29601615201802
65,50.97280000336468,19.618306232617996
66,63.01830000302289,15.868406477991815
67,47.965299992938526,20.84840499584534
68,52.62849999417085,19.001111567131122
69,57.7361000032397,17.320186156388946
70,61.91479999688454,16.1512271710531
71,91.79579999181442,10.893744594950658
72,74.37370000116061,13.445613166810242
73,60.25439999939408,16.596298361780317
74,53.50840000028256,18.68865449153253
75,51.73419999482576,19.329573088982063
76,50.905099997180514,19.64439712436253
77,44.4841999997152,22.479891736985316
78,47.85629999241792,20.89589040854463
79,55.26200000895187,18.095617238572803
80,49.65109999466222,20.14054069512067
81,64.46300000243355,15.51277476943749
82,62.679500013473444,15.95417959277024
83,62.298399992869236,16.051776612472576
84,63.413500000024214,15.769512800895994
85,48.10169999836944,20.78928603425447
86,44.36909999640193,22.538207898765
87,46.02490000252146,21.727369314115084
88,54.68180000025313,18.287620378176484
89,58.90259999432601,16.977179277253097
90,47.32350000995211,21.13115048104431
91,49.9462999869138,20.021503099569046
92,51.633199997013435,19.367383777450204
93,58.45640000188723,17.1067667521044
94,49.619500001426786,20.15336712323271
95,65.03800000064075,15.37562655663071
96,50.536800001282245,19.787560747309435
97,59.521800008951686,16.800567184621542
98,57.21600000106264,17.477628635022153
99,44.74800000025425,22.34736747998387
100,47.18500000308268,21.193175796008653
101,41.08589999668766,24.339250207020413
102,48.35559999628458,20.680128052941857
103,48.82700000598561,20.480471867561224
104,55.55229999299627,18.001054864084377
105,62.90160000207834,15.897846795104718
106,52.58240000694059,19.017770201968823
107,50.58009999629576,19.770621253679515
108,79.89799999631941,12.515957846830535
109,52.57140001049265,19.02174946454558
110,49.643999998806976,20.143421159133663
111,45.422899987897836,22.015327076572238
112,52.436899990425445,19.070540023963886
113,63.52070000139065,15.742899558381868
114,62.223599990829825,16.071072714329844
115,50.12699999497272,19.94932870708981
116,48.65709999285173,20.551985222031547
117,45.644400001037866,21.908492607576438
118,58.24300000676885,17.169445253228414
119,57.644600005005486,17.34767870560584
120,59.616600003209896,16.77385157734855
121,66.23550000949763,15.097644010486947
122,59.20319999859203,16.890978866408943
123,56.85500000254251,17.58860258473803
124,61.94600000162609,16.14309237035079
125,57.87839999538846,17.27760269944705
126,89.08639999572188,11.225057921837927
127,63.05860000429675,15.858265168142982
128,55.98160000226926,17.86301213183375
129,54.06020001100842,18.4978967853683
130,50.96680000133347,19.62061577289209
131,50.35649999626912,19.858409541451238
132,49.42139999184292,20.234149582267026
133,57.92969999311026,17.262302413424077
134,48.97589999018237,20.41820569301347
135,50.42220000177622,19.83253408151118
136,45.913599999039434,21.780039030285604
137,62.20839999150485,16.07499951994521
138,52.83269999199547,18.927671691045642
139,58.50220000138506,17.093374265862217
140,51.06270000396762,19.583766622648216
141,47.64279999653809,20.989530423750576
142,55.69030001061037,17.956448426556786
143,68.43739999749232,14.611893497366088
144,51.12770000414457,19.558869261064686
145,46.07680000481196,21.70289603218033
146,45.0937999994494,22.175997587522232
147,52.35719999473076,19.099569879608538
148,50.89420000149403,19.64860435905554
149,50.85470000631176,19.663865874263074
150,49.85120000492316,20.05969765825583
151,51.11719999695197,19.56288685725408
152,55.35940000845585,18.063779590227774
153,47.783100002561696,20.927901286153244
154,50.02799999783747,19.98880626935369
155,42.58749999280553,23.48106839257843
156,48.412200005259365,20.655950357376092
157,63.575499996659346,15.729329695441582
158,50.03099999157712,19.987607686601372
159,48.332200007280335,20.690140317415075
160,47.890499990899116,20.880968045646533
161,47.65699998824857,20.983276333940104
162,69.57859999965876,14.372235141335185
163,69.03519999468699,14.485363989341103
164,57.2420999960741,17.469659569942124
165,54.6848000085447,18.286617119267994
166,58.11369999719318,17.20764639058086
167,49.489400000311434,20.206347217660895
168,48.354300000937656,20.680684033904093
169,47.56449999695178,21.02408308852371
170,56.00499999127351,17.855548614513282
171,52.59329998807516,19.01382876196658
172,49.46409999683965,20.21668240327615
173,54.9033999996027,18.213808252444046
174,66.25170000188518,15.093952305700007
175,56.78350001107901,17.610749598120762
176,57.31039999227505,17.44884000346868
177,54.44870000064839,18.36591139895152
178,45.405099997879006,22.02395766217259
179,45.18909999751486,22.129230280200186
180,52.39650000294205,19.085244242341574
181,56.69579999812413,17.63799082177316
182,51.0610000055749,19.584418634394527
183,57.97030001122039,17.250212605531555
184,61.802199998055585,16.18065376364372
185,52.298199996585026,19.121116980418027
186,76.35689999733586,13.096393384682859
187,53.37179999332875,18.736486311591435
188,53.212600003462285,18.79254161486067
189,50.30369998712558,19.879253419846528
190,49.55769999651238,20.178499003593284
191,49.88240000966471,20.047150895030114
192,55.39830001362134,18.05109542628781
193,58.71810000098776,17.03052380753427
194,51.115899987053126,19.56338439220056
195,57.86369999987073,17.28199199156352
196,60.15879999904428,16.62267199505121
197,50.48740000347607,19.806922121779884
198,50.01609999453649,19.993562075196486
199,52.39120000624098,19.087174943136965
200,50.78009999124333,19.692753660832548
201,51.668700005393475,19.354077031077118
202,61.24179999460466,16.328716662281302
203,48.02000000199769,20.824656392303183
204,49.26599998725578,20.297974267419352
205,50.347700002021156,19.861880482323045
206,52.751099996385165,18.956950662043564
207,57.313800003612414,17.447804890566868
208,52.46560000523459,19.060107954549803
209,57.17460000596475,17.49028414533158
210,49.70439999306109,20.11894319496068
211,53.90669999178499,18.550569783577796
212,50.71870000392664,19.716593680882593
213,49.56760001368821,20.174468800665107
214,89.0001000079792,11.235942430518012
215,61.11150000651833,16.36353223032223
216,83.96419999189675,11.909837765339375
217,58.68230000487529,17.04091352787673
218,66.45019999996293,15.048863660313405
219,56.377300003077835,17.73763553673919
